home_team,away_team,week,season,pred_home_win,actual_home_win,book_home_ml_odds,book_away_ml_odds,book_home_spread,book_home_spread_odds,book_away_spread,book_away_spread_odds,pred_home_spread,actual_home_spread,pred_home_cover,actual_home_cover,spread_correct,spread_winnings,ml_correct,ml_winnings,naive_spread_winnings,naive_ml_winnings,pred_vs_book_spread
Arkansas,Ole Miss,10,2024,1,0,245,-305,8,-110,-8,-110,-4.98,32,0,1,0,0,0,0,0.9545455,1.327869,12.98
Arkansas,Texas,12,2024,0,0,440,-600,13.5,-110,-13.5,-110,2.32,10,0,0,1,1.909091,1,1.166667,0.9545455,1.166667,11.18
Arkansas,Louisiana Tech,13,2024,1,1,-2068,1048,-23.5,-110,23.5,-111,-10.55,-21,1,1,1,1.909091,1,1.048356,0.9545455,1.048356,12.95
Arkansas State,Troy,9,2024,1,1,-260,210,-8,-112,8,-108,-19.56,-3,0,1,0,0,1,1.384615,0.9464286,1.384615,11.56
Arkansas State,UL Monroe,13,2024,1,1,-144,122,-3,-112,3,-108,-10.6,-7,0,0,1,1.925926,1,1.694444,0.962963,1.694444,7.6
Arkansas State,Old Dominion,14,2024,1,0,NA,NA,NA,NA,NA,NA,-0.58,8,NA,NA,NA,NA,0,0,NA,NA,NA
Army,UAB,7,2024,1,1,-3200,1400,-26.5,-112,26.5,-108,-26.72,-34,0,0,1,1.925926,1,1.03125,0.962963,1.03125,0.22
Army,East Carolina,8,2024,1,1,-874,587,-17.5,-113,17.5,-106,-19.98,-17,0,1,0,0,1,1.114416,0.9424779,1.114416,2.48
Army,Air Force,10,2024,1,1,-1120,711,-18.5,-110,18.5,-110,-21.9,-17,0,1,0,0,1,1.089286,0.9545455,1.089286,3.4
Army,UTSA,14,2024,1,1,NA,NA,NA,NA,NA,NA,-4.02,-5,NA,NA,NA,NA,1,NA,NA,NA,NA
Army,Tulane,15,2024,0,NA,182,-222,5.5,-108,-5.5,-112,3.53,NA,0,NA,NA,NA,NA,NA,NA,NA,1.97
Army,Tulane,15,2024,0,NA,182,-222,5.5,-108,-5.5,-112,3.53,NA,0,NA,NA,NA,NA,NA,NA,NA,1.97
Auburn,Vanderbilt,10,2024,0,0,-304,242,-8,-110,8,-110,2.07,10,1,1,1,1.909091,1,3.42,0.9545455,0,10.07
Auburn,UL Monroe,12,2024,1,1,-3200,1400,-24.5,-110,24.5,-110,-16.68,-34,1,0,0,0,1,1.03125,0.9545455,1.03125,7.82
Auburn,Texas A&M,13,2024,0,1,113,-134,2.5,-110,-2.5,-110,0.47,-2,0,0,1,1.909091,0,0,0.9545455,0,2.03
BYU,Oklahoma State,8,2024,1,1,-325,260,-8,-110,8,-110,-21.11,-3,0,1,0,0,1,1.307692,0.9545455,1.307692,13.11
BYU,Kansas,12,2024,1,0,-142,120,-3,-110,3,-110,-7.39,4,0,1,0,0,0,0,0.9545455,0,4.39
BYU,Houston,14,2024,1,1,NA,NA,NA,NA,NA,NA,-8.48,-12,NA,NA,NA,NA,1,NA,NA,NA,NA
Ball State,Northern Illinois,9,2024,0,1,NA,NA,NA,NA,NA,NA,1.61,-2,NA,NA,NA,NA,0,0,NA,NA,NA
Ball State,Miami (OH),11,2024,0,0,390,-522,13,-110,-13,-110,12.64,6,0,0,1,1.909091,1,1.191571,0.9545455,1.191571,0.36
Ball State,Bowling Green,13,2024,0,0,350,-455,12.5,-110,-12.5,-110,9.29,25,0,1,0,0,1,1.21978,0.9545455,1.21978,3.21
Baylor,Oklahoma State,9,2024,1,1,-252,205,-6.5,-115,6.5,-105,-7.71,-10,0,0,1,1.952381,1,1.396825,0.9761905,1.396825,1.21
Baylor,TCU,10,2024,1,1,-135,114,-2.5,-115,2.5,-105,-4.4,-3,0,0,1,1.952381,1,1.740741,0.9761905,1.740741,1.9
Baylor,Kansas,14,2024,1,1,NA,NA,NA,NA,NA,NA,-0.94,-28,NA,NA,NA,NA,1,NA,NA,NA,NA
Boise State,San Diego State,10,2024,1,1,-3200,1400,-24.5,-110,24.5,-110,-17.39,-32,1,0,0,0,1,1.03125,0.9545455,1.03125,7.11
Boise State,Nevada,11,2024,1,1,-2402,1148,-23.5,-110,23.5,-110,-24.3,-7,0,1,0,0,1,1.041632,0.9545455,1.041632,0.8
Boise State,Oregon State,14,2024,1,1,NA,NA,NA,NA,NA,NA,-17.44,-16,NA,NA,NA,NA,1,NA,NA,NA,NA
Boise State,UNLV,15,2024,1,NA,-192,160,-4,-110,4,-110,-6.78,NA,0,NA,NA,NA,NA,NA,NA,NA,2.78
Boise State,UNLV,15,2024,1,NA,-192,160,-4,-110,4,-110,-6.78,NA,0,NA,NA,NA,NA,NA,NA,NA,2.78
Boston College,Louisville,9,2024,0,0,207,-255,7,-115,-7,-105,1.07,4,0,0,1,1.952381,1,1.392157,0.9761905,1.392157,5.93
Boston College,Syracuse,11,2024,0,1,-128,106,-1.5,-114,1.5,-106,6.93,-6,1,0,0,0,0,0,0.9716981,1.78125,8.43
Boston College,North Carolina,13,2024,0,1,NA,NA,NA,NA,NA,NA,10.89,-20,NA,NA,NA,NA,0,0,NA,NA,NA
Boston College,Pittsburgh,14,2024,1,1,NA,NA,NA,NA,NA,NA,-0.47,-11,NA,NA,NA,NA,1,NA,NA,NA,NA
